project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,95.372,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,101.582,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,103.827,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,106.771,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,106.937,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,118.342,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,122.413,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,129.973,garbage,Garbage,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,131.369,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,137.607,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,137.927,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,142.63,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,142.982,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,144.076,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,144.624,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,146.375,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,147.217,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,147.362,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,147.676,garbage,Garbage,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,159.692,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,162.357,garbage,Garbage,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,162.735,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,169.84,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,178.998,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,179.443,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,181.491,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,181.609,garbage,Garbage,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,182.723,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,183.619,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,186.923,garbage,Garbage,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,189.277,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,195.543,garbage,Garbage,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,196.007,garbage,Garbage,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,196.36,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,258.979,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,267.823,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,295.403,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,337.31,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,342.891,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,345.754,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
PTEN,13,2,PTEN m13 s2 2023-08-01,ds,M13_HF4s2aug1,2,348.944,spike,Dentate Spike,Rain Younger,2026-09-10T14:16:00-04:00,"GUI final curation
-RY",Shahriar Tafti,46fd29a77cc7
