# Jarvis Panorama -- KCNT1 m306 s1 2026-02-24 CSC1 panorama -- CSC1 -- 2-200 Hz -- 193 windows of 8 s every 1 s -- taken 2026-09-15T17:11:28
frequency_hz,power_uv2_per_hz
2.0,999.4556658108947
2.5,833.7103830479368
3.0,1034.6553628966203
3.5,1309.6059057492805
4.0,1361.2603109351899
4.5,1466.8418889369007
5.0,1273.4844328300267
5.5,901.3088873282907
6.0,574.2854370777442
6.5,431.04248392918294
7.0,373.5164359515203
7.5,303.21782977321186
8.0,231.9567262499951
8.5,161.03435176258765
9.0,135.82556832873118
9.5,132.68607321024984
10.0,136.92075937607476
10.5,120.586396245446
11.0,101.06396822886123
11.5,94.00527752580754
12.0,81.70118904364809
12.5,78.53741781698173
13.0,76.73403945502679
13.5,68.97383349824023
14.0,68.88209273235229
14.5,65.58330080210794
15.0,59.15833886668534
15.5,64.76839201653493
16.0,58.48596755203136
16.5,51.778451668306126
17.0,51.25987854357912
17.5,54.35933673366896
18.0,54.99207548303979
18.5,47.69253590616592
19.0,48.784574501912864
19.5,43.571762397469904
20.0,44.542052673485124
20.5,44.316640701083344
21.0,45.56587029289881
21.5,41.75891890586203
22.0,40.579143093625646
22.5,37.853272682768335
23.0,38.854745125711545
23.5,44.993212540781016
24.0,43.43687648843851
24.5,42.00804895585038
25.0,43.49499751430854
25.5,43.8868942298019
26.0,42.25503414546658
26.5,41.37910148396769
27.0,44.87954867971011
27.5,41.990888825242635
28.0,36.16175633848507
28.5,36.32247229947998
29.0,36.156275219289896
29.5,37.15778844720058
30.0,35.725509934855744
30.5,31.522231692778185
31.0,28.39361950290926
31.5,30.16683485905493
32.0,27.243266183768807
32.5,24.535601790614507
33.0,25.972298405450466
33.5,25.58217383315502
34.0,23.975425258777985
34.5,23.69681132560059
35.0,24.177027281284076
35.5,22.845288450306295
36.0,20.73901257006051
36.5,21.163333902310942
37.0,22.363360027981553
37.5,21.020234770723867
38.0,19.925370197445524
38.5,20.388868292652123
39.0,20.53725874760378
39.5,20.189788071197455
40.0,19.483501621092767
40.5,17.846559453726503
41.0,18.334718752954007
41.5,18.052736528059906
42.0,18.904402995407384
42.5,20.72994285366731
43.0,19.051751278536642
43.5,18.85440880940513
44.0,16.858196177393832
44.5,15.748523759497019
45.0,17.032389865926543
45.5,15.378507076096518
46.0,13.970395599953065
46.5,13.911671862752632
47.0,13.430689505160307
47.5,13.259121961805324
48.0,11.806497576040677
48.5,10.960120856857552
49.0,11.597540866800557
49.5,11.555400040333422
50.0,9.892023277018714
50.5,8.950246488409201
51.0,9.037341070752364
51.5,9.967739222253698
52.0,9.512097090123802
52.5,8.915445980681746
53.0,8.07090263541337
53.5,8.512295784523907
54.0,8.573971287184788
54.5,7.160924203504581
55.0,7.399090530209352
55.5,7.5220709482530514
56.0,7.542096733972221
56.5,7.106650590087254
57.0,7.350510667546926
57.5,8.059778741502248
58.0,7.786273417442692
58.5,7.54714865993963
59.0,7.339036594097598
59.5,7.159022166766268
60.0,7.0045806044353025
60.5,6.8735245711334905
61.0,6.763959432449382
61.5,6.674245310762615
62.0,6.602964844392292
62.5,6.548895749528656
63.0,5.88076891831143
63.5,5.9161130584765385
64.0,5.592549834990462
64.5,5.676241435634308
65.0,5.438991293166725
65.5,5.265036866238234
66.0,4.8959463647245505
66.5,4.587431340640634
67.0,4.074319198887593
67.5,3.530863034893567
68.0,3.8827163784541345
68.5,4.037920368565674
69.0,3.751263574525923
69.5,3.4736176989885093
70.0,3.446750870755559
70.5,3.3401029329838385
71.0,3.382260303054409
71.5,3.245716586067018
72.0,2.789056100341788
72.5,2.9917878422505373
73.0,3.3536460774792247
73.5,3.27055051963787
74.0,2.6367251874869835
74.5,2.52333226209624
75.0,2.387309209479612
75.5,2.5734667392769417
76.0,2.5505605473909494
76.5,2.688760772683115
77.0,2.4118868377152487
77.5,2.2364856445397785
78.0,2.138032181722589
78.5,2.0167413290145877
79.0,2.0472636439660237
79.5,1.8693037150241179
80.0,2.067769434402214
80.5,2.155332042797212
81.0,1.8968909410456352
81.5,1.7191333919967984
82.0,1.602122581564037
82.5,1.4339819818911037
83.0,1.4565169768928097
83.5,1.457538446070709
84.0,1.4377119515713055
84.5,1.430555326728114
85.0,1.4371684871693762
85.5,1.3267921597450607
86.0,1.542775108146938
86.5,1.397027860257423
87.0,1.25920645601652
87.5,1.2689465083801117
88.0,1.2476098498563761
88.5,1.2942604408649032
89.0,1.3229380169433433
89.5,1.2673878425604974
90.0,1.204595768412983
90.5,1.2343912095422003
91.0,1.379234003810575
91.5,1.3825611433680698
92.0,1.2619604425446331
92.5,1.1023057627697177
93.0,1.134999295226394
93.5,1.1265015871893687
94.0,1.1219837247087607
94.5,1.0280712597372457
95.0,1.0682895353766642
95.5,1.0002610528353302
96.0,1.0418975225684988
96.5,0.9607285136923717
97.0,0.9227169475291578
97.5,0.9903325837225365
98.0,1.0082786289484613
98.5,0.919496281831635
99.0,0.943966133408445
99.5,0.9678666444887318
100.0,0.9014715082604463
100.5,0.8699947572255572
101.0,0.8249329327663463
101.5,0.7909004421435558
102.0,0.8086870981800245
102.5,0.8887820354328991
103.0,0.822542973878962
103.5,0.858329169145435
104.0,0.7452497401330308
104.5,0.6707417558465197
105.0,0.6969204134473285
105.5,0.7276213059549149
106.0,0.7767811042536734
106.5,0.7556300947561211
107.0,0.7716707396114625
107.5,0.739749220933126
108.0,0.688139745873078
108.5,0.8075874637766389
109.0,0.7478422181415011
109.5,0.6475486552119982
110.0,0.5976471107577954
110.5,0.6643025608456588
111.0,0.6310042608574079
111.5,0.578519812312393
112.0,0.5474392918960747
112.5,0.6067251402058823
113.0,0.5791780266748429
113.5,0.6100469634827832
114.0,0.7037242568651296
114.5,0.6809022013793732
115.0,0.64014948949382
115.5,0.6529484172382665
116.0,0.6390830186026454
116.5,0.6452317070627737
117.0,0.6922258295671381
117.5,0.7188741317743562
118.0,0.7052509254008428
118.5,0.6944757957711997
119.0,0.6863826234508512
119.5,0.6808375354082776
120.0,0.6777355401575534
120.5,0.6769977786807804
121.0,0.6785693015176255
121.5,0.682417299008106
122.0,0.6885297253872851
122.5,0.6969142688136286
123.0,0.7833617195377611
123.5,0.7296061956514941
124.0,0.6240865912930018
124.5,0.5926759445333463
125.0,0.48351987480304864
125.5,0.4976452117687648
126.0,0.5384311002500569
126.5,0.5856695583712664
127.0,0.536565621503024
127.5,0.47908214359439527
128.0,0.41910814264567336
128.5,0.46461137424323234
129.0,0.4634280496277807
129.5,0.44394372658328307
130.0,0.3959874673889505
130.5,0.39212780058206725
131.0,0.4395331595396662
131.5,0.46073903573056174
132.0,0.4352786163729894
132.5,0.43699174210938563
133.0,0.4103324121658617
133.5,0.38414958301214525
134.0,0.35372488107348493
134.5,0.348513519103314
135.0,0.36433593559076427
135.5,0.3527302994427785
136.0,0.340493095522461
136.5,0.34471437779915326
137.0,0.35710028119013926
137.5,0.37329937109962713
138.0,0.3333797955408096
138.5,0.2863689009116947
139.0,0.2843923755904334
139.5,0.3311642084946607
140.0,0.31081582701830435
140.5,0.304311930957803
141.0,0.27307048341246903
141.5,0.2512943125086641
142.0,0.2213042980406931
142.5,0.2354771590049804
143.0,0.25096867616080015
143.5,0.23883087124453234
144.0,0.2624933976070165
144.5,0.26226239732667367
145.0,0.2711491911416349
145.5,0.2600951292348057
146.0,0.22448950287544586
146.5,0.2272061762118497
147.0,0.26389354268215515
147.5,0.2428004279633285
148.0,0.2455072463163519
148.5,0.2563637767424108
149.0,0.25387479973898014
149.5,0.2762995270065598
150.0,0.2648288667479626
150.5,0.2528732054190059
151.0,0.27582758712158667
151.5,0.2594229995566599
152.0,0.2184281276020078
152.5,0.1886216584928325
153.0,0.20462581719355816
153.5,0.22009965826684147
154.0,0.21929711717731518
154.5,0.22551269633504886
155.0,0.24596523690981947
155.5,0.2806364735763528
156.0,0.2410119266939344
156.5,0.20593437869613898
157.0,0.2264768435221082
157.5,0.22299232179499495
158.0,0.18023173694444816
158.5,0.18123814089722598
159.0,0.19511037035453255
159.5,0.19901609548149693
160.0,0.222089893445107
160.5,0.23684006419083029
161.0,0.22390933377337707
161.5,0.24145367761838774
162.0,0.2135370101367141
162.5,0.1873032623864432
163.0,0.22031275483694004
163.5,0.27686195145740006
164.0,0.25971605144490517
164.5,0.233517837699903
165.0,0.2439943890770649
165.5,0.24189111034793215
166.0,0.20962881904093825
166.5,0.21767590539657808
167.0,0.2146793874393585
167.5,0.2026262617696445
168.0,0.23624835166446648
168.5,0.2285225552945441
169.0,0.2037721619066786
169.5,0.21987303785796328
170.0,0.22846646632660286
170.5,0.21773405378847635
171.0,0.21622019879517054
171.5,0.21915313459958305
172.0,0.2176291808719869
172.5,0.25062471686458143
173.0,0.3020270563925232
173.5,0.28648298425694085
174.0,0.2527139436487273
174.5,0.2489620331391459
175.0,0.23870220582583165
175.5,0.2574819360677196
176.0,0.23650099399956345
176.5,0.21857161591713048
177.0,0.24683226022784086
