row,time,amp,half_width,width_height,asym,prom,start,stop,idx,idx_peak,idx_start,idx_stop,status,is_valid,shank,segment,time_toothy_concat_s,time_true_s,time_error_ms,nlx_timestamp_us,raw_sample_index,near_stitch,start_true_s,stop_true_s
0,38.75302675544077,0.38913637,13.717394620711275,0.13370593637228012,33.33333333333333,0.5744491219520569,38.74702675129832,38.76102676096406,38753,38753,38747,38761,1,1,0,0,38.75302675544077,38.75302675544077,-0.0,1707497071813643,1162591,False,38.74702675129832,38.76102676096406
1,286.75419797769626,0.30635285,14.829149928118568,0.11804381385445595,0.0,0.5139174163341522,286.74719797286343,286.7611979825291,286754,286754,286747,286761,1,1,0,0,286.75419797769626,286.75419797769626,-0.0,1707497319814815,8602626,False,286.74719797286343,286.7611979825291
2,685.5324732978305,0.3137739,15.259862226317637,0.1149027980864048,50.0,0.4598902463912964,685.5264732936881,685.5414733040441,685532,685532,685526,685541,1,1,0,0,685.5324732978305,685.5324732978305,-0.0,1707497718593090,20565974,False,685.5264732936881,685.5414733040441
3,708.8414893905864,0.3704825,21.40325508674141,0.13165317103266716,-44.44444444444444,0.6086184233427048,708.8284893816111,708.8504893968002,708841,708841,708828,708850,1,1,0,0,708.8414893905864,708.8414893905864,-0.0,1707497741902106,21265245,False,708.8284893816111,708.8504893968002
4,767.7525300633026,0.30257556,27.316061678458937,0.10177244246006012,185.71428571428572,0.4621897339820862,767.7455300584697,767.7725300771108,767752,767752,767745,767772,1,1,0,0,767.7525300633026,767.7525300633026,-0.0,1707497800813147,23032576,False,767.7455300584697,767.7725300771108
5,777.271536635311,0.30664644,17.2811033714097,0.10399890318512917,42.857142857142854,0.5783032178878784,777.2645366304782,777.2815366422152,777271,777271,777264,777281,1,1,0,0,777.271536635311,777.271536635311,-0.0,1707497810332153,23318146,False,777.2645366304782,777.2815366422152
6,1467.381013093146,0.30080003,19.713781639700755,0.12422318942844868,71.42857142857143,0.539831668138504,1467.374013088313,1467.393013101431,1467380,1467380,1467373,1467392,1,1,0,0,1467.381013093146,1467.381013093146,-0.0,1707498500441630,44021430,False,1467.374013088313,1467.393013101431
7,1743.8702039837885,0.3030451,13.379969788016751,0.12610181607306004,-16.666666666666664,0.5702248811721802,1743.8632039789554,1743.876203987931,1743869,1743869,1743862,1743875,1,1,0,0,1743.8702039837885,1743.8702039837885,-0.0,1707498776930821,52316106,False,1743.8632039789554,1743.876203987931
8,1750.5072085660365,0.3308923,12.47432194207795,0.13737571984529495,0.0,0.6229562163352966,1750.5012085618941,1750.5132085701791,1750506,1750506,1750500,1750512,1,1,0,0,1750.5072085660365,1750.5072085660365,-0.0,1707498783567825,52515216,False,1750.5012085618941,1750.5132085701791
9,1762.2862166983703,0.30009097,11.244224634952843,0.1326903235167265,-20.0,0.4393659234046936,1762.2802166942279,1762.2912167018223,1762285,1762285,1762279,1762290,1,1,0,0,1762.2862166983703,1762.2862166983703,-0.0,1707498795346833,52868587,False,1762.2802166942279,1762.2912167018223
10,2021.741395828577,0.32224753,12.654683465603739,0.08469214290380478,-16.666666666666664,0.5913550853729248,2021.734395823744,2021.7473958327191,2021740,2021740,2021733,2021746,1,1,0,7,2021.741395828577,2021.8633201619102,121.92433333325425,1707499054923937,60655900,False,2021.8563201570773,2021.8693201660524
11,38.75302675544077,0.39059708,13.504199452516332,0.13481343910098076,16.666666666666664,0.5747150778770447,38.74702675129832,38.76002676027364,38753,38753,38747,38760,1,1,0,0,38.75302675544077,38.75302675544077,-0.0,1707497071813643,1162591,False,38.74702675129832,38.76002676027364
12,286.75419797769626,0.30672225,14.845156701747328,0.1170453242957592,0.0,0.5185426622629166,286.74719797286343,286.7611979825291,286754,286754,286747,286761,1,1,0,0,286.75419797769626,286.75419797769626,-0.0,1707497319814815,8602626,False,286.74719797286343,286.7611979825291
13,685.5324732978305,0.3137989,14.792781686526723,0.11447006836533546,33.33333333333333,0.4581698477268219,685.5264732936881,685.5404733033538,685532,685532,685526,685540,1,1,0,0,685.5324732978305,685.5324732978305,-0.0,1707497718593090,20565974,False,685.5264732936881,685.5404733033538
14,708.8414893905864,0.3671763,21.568904365296476,0.12949951365590096,-44.44444444444444,0.6158829033374786,708.8284893816111,708.8504893968002,708841,708841,708828,708850,1,1,0,0,708.8414893905864,708.8414893905864,-0.0,1707497741902106,21265245,False,708.8284893816111,708.8504893968002
15,767.7525300633026,0.30118483,27.264730844530277,0.10195393860340118,185.71428571428572,0.468780517578125,767.7455300584697,767.7725300771108,767752,767752,767745,767772,1,1,0,0,767.7525300633026,767.7525300633026,-0.0,1707497800813147,23032576,False,767.7455300584697,767.7725300771108
16,777.271536635311,0.30482468,16.951042394852266,0.1063711829483509,42.857142857142854,0.5861811935901642,777.2645366304782,777.2815366422152,777271,777271,777264,777281,1,1,0,0,777.271536635311,777.271536635311,-0.0,1707497810332153,23318146,False,777.2645366304782,777.2815366422152
17,1467.381013093146,0.30279544,19.280660312389955,0.1242165993899107,71.42857142857143,0.579280287027359,1467.374013088313,1467.393013101431,1467380,1467380,1467373,1467392,1,1,0,0,1467.381013093146,1467.381013093146,-0.0,1707498500441630,44021430,False,1467.374013088313,1467.393013101431
18,1743.8702039837885,0.30194926,13.345240245806053,0.12627115100622177,-16.666666666666664,0.5527237057685852,1743.8632039789554,1743.876203987931,1743869,1743869,1743862,1743875,1,1,0,0,1743.8702039837885,1743.8702039837885,-0.0,1707498776930821,52316106,False,1743.8632039789554,1743.876203987931
19,1750.5072085660365,0.32962242,12.314424761105329,0.13809234835207462,0.0,0.6289657652378082,1750.5012085618941,1750.5132085701791,1750506,1750506,1750500,1750512,1,1,0,0,1750.5072085660365,1750.5072085660365,-0.0,1707498783567825,52515216,False,1750.5012085618941,1750.5132085701791
20,2021.741395828577,0.32545093,12.509738709079102,0.08805348724126816,-16.666666666666664,0.6021552979946136,2021.734395823744,2021.7473958327191,2021740,2021740,2021733,2021746,1,1,0,7,2021.741395828577,2021.8633201619102,121.92433333325425,1707499054923937,60655900,False,2021.8563201570773,2021.8693201660524
21,38.75302675544077,0.3892749,13.481053737363254,0.13273289054632187,16.666666666666664,0.5807691812515259,38.74702675129832,38.76002676027364,38753,38753,38747,38760,1,1,0,0,38.75302675544077,38.75302675544077,-0.0,1707497071813643,1162591,False,38.74702675129832,38.76002676027364
22,286.7531979770059,0.30503032,14.916107408644166,0.11400046572089195,14.285714285714285,0.5230492204427719,286.74619797217304,286.7611979825291,286753,286753,286746,286761,1,1,0,0,286.7531979770059,286.7531979770059,-0.0,1707497319813815,8602596,False,286.74619797217304,286.7611979825291
23,685.5324732978305,0.31115827,14.813883624621667,0.11188962683081627,33.33333333333333,0.4605594426393509,685.5264732936881,685.5404733033538,685532,685532,685526,685540,1,1,0,0,685.5324732978305,685.5324732978305,-0.0,1707497718593090,20565974,False,685.5264732936881,685.5404733033538
24,708.8414893905864,0.36809483,21.372802673722617,0.1301647499203682,-44.44444444444444,0.6243595480918884,708.8284893816111,708.8504893968002,708841,708841,708828,708850,1,1,0,0,708.8414893905864,708.8414893905864,-0.0,1707497741902106,21265245,False,708.8284893816111,708.8504893968002
