session,cluster,field,channel,is_best,n,mu_deg,r,p_rayleigh,theta_total_sec_ref,recording_total_sec_ref,theta_pct_ref,theta_segments_ref,orig_field,Level,LevelAdj
m10s4,17,CA1,7,1,26,189.456495329445,0.175853690020554,0.451659404882588,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,2,2
m10s4,17,CA1,10,0,26,218.066657909516,0.145944638220095,0.579169053658201,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,3,3
m10s4,17,CA1,17,0,26,245.090902010693,0.202074771624396,0.349203559333362,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,4,4
m10s4,20,CA1,3,0,72,353.554757097983,0.193254720227648,0.0675071638778875,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,1,1
m10s4,20,CA1,9,1,72,349.884772316376,0.230095136122231,0.0215708110505197,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,2,2
m10s4,20,CA1,10,0,72,350.359877828318,0.231320822574798,0.0206930329191093,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,3,3
m10s4,20,CA1,17,0,72,356.692423501872,0.131917451314129,0.286589705756115,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,4,4
m10s4,21,CA1,3,0,60,348.357479302637,0.326457570561993,0.00147789830233916,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,1,1
m10s4,21,CA1,8,1,60,354.703360706091,0.336794626810818,0.000959461599883385,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,2,2
m10s4,21,CA1,10,0,60,358.114713726856,0.333478692741651,0.00110389167215925,33.0416000000002,643.976,5.13087444252583,[1.874-2.565]; [9.481-10.120]; [31.848-32.919]; [35.510-36.340]; [130.273-130.890]; [166.594-167.734]; [224.576-225.178]; [225.369-226.081]; [232.916-233.691]; [240.773-241.409]; [246.406-247.892]; [266.282-267.028]; [271.924-272.672]; [315.760-316.688]; [319.373-320.345]; [321.806-322.414]; [326.394-327.172]; [332.024-332.688]; [334.330-335.438]; [348.690-349.447]; [354.475-355.498]; [365.385-366.459]; [451.284-452.042]; [460.862-461.500]; [481.998-484.869]; [490.635-491.530]; [491.778-492.796]; [495.485-496.218]; [516.218-516.894]; [528.906-529.480]; [536.007-536.601]; [546.698-547.450]; [585.338-586.008]; [590.996-591.620]; [602.765-603.626]; [603.902-604.810]; [607.611-608.203]; [631.443-632.045]; [637.110-637.782],CA1,3,3
