on_samp,off_samp,on_sec,off_sec,duration_sec,channels
41071511,41072537,1369.05036666667,1369.08456666667,0.0342000000000553,"CSC2,CSC4"
41254931,41259557,1375.16436666667,1375.31856666667,0.154199999999946,"CSC2,CSC4"
41595028,41596605,1386.50093333333,1386.5535,0.0525666666667348,"CSC2,CSC4"
41999697,42003519,1399.9899,1400.1173,0.127399999999852,"CSC2"
43505497,43506468,1450.18323333333,1450.2156,0.0323666666665758,"CSC2,CSC4"
44842052,44844461,1494.73506666667,1494.81536666667,0.0803000000000793,"CSC2,CSC4"
45245920,45247022,1508.19733333333,1508.23406666667,0.036733333333359,"CSC2"
45397760,45402046,1513.25866666667,1513.40153333333,0.142866666666805,"CSC2,CSC4"
45499039,45505343,1516.63463333333,1516.84476666667,0.21013333333326,"CSC2,CSC4"
46599188,46603762,1553.30626666667,1553.45873333333,0.152466666666669,"CSC2,CSC4"
46677690,46680732,1555.923,1556.0244,0.101400000000012,"CSC2,CSC4"
46761423,46765026,1558.7141,1558.8342,0.120100000000093,"CSC2,CSC4"
46912253,46917099,1563.74176666667,1563.9033,0.161533333333182,"CSC2,CSC4"
47430976,47432076,1581.03253333333,1581.0692,0.0366666666666333,"CSC2"
47506116,47507492,1583.5372,1583.58306666667,0.0458666666665977,"CSC2,CSC4"
47659697,47660755,1588.65656666667,1588.69183333333,0.03526666666653,"CSC2,CSC4"
47909095,47911466,1596.96983333333,1597.04886666667,0.0790333333334274,"CSC2,CSC4"
48045395,48047237,1601.51316666667,1601.57456666667,0.0614000000000487,"CSC2,CSC4"
48221588,48223948,1607.38626666667,1607.46493333333,0.078666666666777,"CSC2,CSC4"
48483330,48484381,1616.111,1616.14603333333,0.035033333333331,"CSC2,CSC4"
48658125,48661215,1621.9375,1622.0405,0.103000000000065,"CSC2,CSC4"
48744386,48747672,1624.81286666667,1624.9224,0.109533333333275,"CSC2,CSC4"
49299466,49301346,1643.31553333333,1643.3782,0.0626666666667006,"CSC2,CSC4"
49344369,49349185,1644.8123,1644.97283333333,0.160533333333206,"CSC2,CSC4"
49438931,49441450,1647.96436666667,1648.04833333333,0.0839666666668109,"CSC2,CSC4"
49516813,49520488,1650.56043333333,1650.68293333333,0.122499999999945,"CSC2,CSC4"
49701904,49706297,1656.73013333333,1656.87656666667,0.146433333333334,"CSC2,CSC4"
49775821,49776848,1659.19403333333,1659.22826666667,0.0342333333333045,"CSC2,CSC4"
49876339,49877614,1662.54463333333,1662.58713333333,0.0425000000000182,"CSC2,CSC4"
49993781,49998381,1666.45936666667,1666.6127,0.153333333333194,"CSC2,CSC4"
50113738,50114819,1670.45793333333,1670.49396666667,0.0360333333333074,"CSC2,CSC4"
51272826,51275342,1709.0942,1709.17806666667,0.0838666666666086,"CSC2"
51951199,51957099,1731.70663333333,1731.9033,0.196666666666715,"CSC2,CSC4"
52175313,52181647,1739.1771,1739.38823333333,0.211133333333237,"CSC2,CSC4"
52334580,52335587,1744.486,1744.51956666667,0.033566666666502,"CSC2"
52405281,52406176,1746.8427,1746.87253333333,0.0298333333334995,"CSC2,CSC4"
52616522,52617389,1753.88406666667,1753.91296666667,0.0289000000000215,"CSC2"
52682349,52683950,1756.0783,1756.13166666667,0.0533666666667614,"CSC2"
52846105,52848297,1761.53683333333,1761.6099,0.0730666666665911,"CSC2,CSC4"
52941438,52945640,1764.7146,1764.85466666667,0.140066666666598,"CSC2,CSC4"
53067162,53068292,1768.9054,1768.94306666667,0.0376666666666097,"CSC2,CSC4"
53437211,53444461,1781.24036666667,1781.48203333333,0.241666666666561,"CSC2,CSC4"
53606311,53611729,1786.87703333333,1787.05763333333,0.180599999999913,"CSC2,CSC4"
53799360,53803231,1793.312,1793.44103333333,0.129033333333382,"CSC2,CSC4"
53977679,53978883,1799.25596666667,1799.2961,0.0401333333334151,"CSC2,CSC4"
54060206,54062578,1802.00686666667,1802.08593333333,0.0790666666666766,"CSC2,CSC4"
54469057,54470127,1815.63523333333,1815.6709,0.035666666666657,"CSC2,CSC4"
54541245,54543106,1818.0415,1818.10353333333,0.0620333333333747,"CSC2"
54657242,54659978,1821.90806666667,1821.99926666667,0.0912000000000717,"CSC2,CSC4"
54799572,54801059,1826.6524,1826.70196666667,0.0495666666668058,"CSC2,CSC4"
54982196,54983605,1832.73986666667,1832.78683333333,0.0469666666667763,"CSC2,CSC4"
55176027,55184208,1839.2009,1839.4736,0.272699999999986,"CSC2,CSC4"
55546781,55552106,1851.55936666667,1851.73686666667,0.177500000000009,"CSC2,CSC4"
55621577,55622597,1854.05256666667,1854.08656666667,0.0339999999998781,"CSC2,CSC4"
