Mouse,Region,TimeFrame,Base_MeanCSD,CNO_MeanCSD,Delta_MeanCSD,Base_MeanVoltage,CNO_MeanVoltage,Delta_MeanVoltage
M13_pten,CA1,AS,-11.279319089251247,2.367827721143513,13.64714681039476,-81.93614191419964,-207.11922620261464,-125.183084288415
M13_pten,CA1,GZ,-4.886194928013846,16.678497474710465,21.56469240272431,-194.97801887733485,-250.0112593923867,-55.03324051505186
M13_pten,CA1 SLM,AS,-4.113412902459791,-25.946105546814593,-21.8326926443548,-15.93671178345933,-256.1819431209592,-240.2452313374999
M13_pten,CA1 SLM,GZ,-12.156522007793114,-27.540958115505436,-15.384436107712322,-237.45107951410785,-465.0108462474386,-227.55976673333078
M13_pten,DG,AS,6.668442045636191,11.529435012736606,4.860992967100415,-298.1281623470998,-270.49187197598275,27.63629037111707
M13_pten,DG,GZ,9.15554605110112,4.224063217952934,-4.931482833148187,415.19847483432505,2.696285618655881,-412.50218921566915
M13_pten,DG GCL1,AS,-106.78488434756474,-181.857036975608,-75.07215262804326,89.72589740576626,-193.48178249890327,-283.20767990466953
M13_pten,DG GCL1,GZ,-144.1028680162454,-256.4861185999626,-112.3832505837172,-533.7709905520967,-847.6542023089015,-313.8832117568048
M13_pten,DG GCL2,AS,-349.7346553718687,-347.22124427700567,2.513411094863045,-1266.3239528681577,-1133.2659435631122,133.05800930504552
M13_pten,DG GCL2,GZ,-435.1139242142266,-372.60836510397144,62.50555911025515,-1381.7822399035176,-1187.5220243139117,194.26021558960588
M13_pten,DG MML1,AS,27.820331744345946,99.24667903841382,71.42634729406787,127.5073442196311,-50.7225427551181,-178.2298869747492
M13_pten,DG MML1,GZ,64.04551718233041,187.6021297194416,123.55661253711118,-276.0115980651008,-479.7635356570037,-203.75193759190284
M13_pten,DG MML2,AS,180.0561905282467,137.89545648096438,-42.16073404728232,-740.061019960776,-673.576198166705,66.48482179407097
M13_pten,DG MML2,GZ,429.5992792096387,291.27931702163824,-138.3199621880005,186.5342129374213,96.65804712816912,-89.87616580925219
M13_pten,DG OML1,AS,12.258760436135153,6.770219339434157,-5.488541096700996,88.55603093580436,-107.8990806337375,-196.45511156954186
M13_pten,DG OML1,GZ,14.613906443858557,-0.1132561582779032,-14.72716260213646,-189.55433714434895,-455.0629185666758,-265.50858142232687
M13_pten,DG OML2,AS,-12.712849750777696,-9.683465138002404,3.029384612775292,-521.1411423474653,-416.84248498263054,104.29865736483481
M13_pten,DG OML2,GZ,76.37860698084664,-5.961271201589465,-82.33987818243611,603.9072351828502,159.46147073737728,-444.4457644454729
M13_pten,HIL,AS,131.0735043717006,211.73943181696734,80.66592744526673,550.6329804814258,228.49350321606929,-322.1394772653565
M13_pten,HIL,GZ,67.92382428821604,100.64487214027628,32.72104785206024,-247.12252205988588,-440.1611840047773,-193.0386619448914
M34_ptenblind,CA1,AS,-0.7796909498131827,3.8198262703518986,4.599517220165081,-85.91606804938732,-98.5160199014407,-12.59995185205338
M34_ptenblind,CA1,GZ,-2.451086557039648,3.287249446464579,5.738336003504227,-79.50448208167904,-122.9680260115541,-43.46354392987506
M34_ptenblind,CA1 SLM,AS,-9.051740017083594,-20.074010200207812,-11.022270183124219,-105.6112497838866,-140.03105593208173,-34.41980614819512
M34_ptenblind,CA1 SLM,GZ,-6.585069881972448,-21.480718515985014,-14.895648634012566,-65.54617126131318,-142.73049848141102,-77.18432722009784
M34_ptenblind,CA1 SP,AS,1.6964703468004059,3.156512159041614,1.460041812241208,-66.00105844922416,-83.55302251014189,-17.551964060917726
M34_ptenblind,CA1 SP,GZ,0.6910754788306477,1.085553850446427,0.39447837161577937,-69.11756171554816,-115.90147353447014,-46.78391181892198
M34_ptenblind,DG GCL1,AS,-168.3853682756221,-160.8178024096867,7.567565865935421,-613.4899134128091,-666.7365055502554,-53.24659213744633
M34_ptenblind,DG GCL1,GZ,-214.4212620232695,-229.84785088745681,-15.426588864187323,-865.3551112107242,-1134.6601356667154,-269.3050244559912
M34_ptenblind,DG GCL2,AS,-126.49777307534767,-143.2793770212739,-16.78160394592622,-700.3851672920449,-823.1205558663792,-122.73538857433425
M34_ptenblind,DG GCL2,GZ,-153.6709693170363,-207.11190359933028,-53.440934282293966,-759.9265176741802,-1187.9147924919037,-427.98827481772344
M34_ptenblind,DG MML1,AS,82.03534762877649,91.97705916605766,9.941711537281165,-269.4335874185523,-134.06627137207332,135.36731604647898
M34_ptenblind,DG MML1,GZ,91.70163062310982,132.00610464069698,40.304474017587154,-365.6798816118084,-266.84248698679016,98.83739462501825
M34_ptenblind,DG MML2,AS,152.78906468540197,165.64486485830747,12.855800172905504,185.70670184587874,-48.309923136948036,-234.01662498282678
M34_ptenblind,DG MML2,GZ,265.1017712008569,310.87848997335834,45.776718772501454,550.7620722869706,480.41236037671996,-70.34971191025062
M34_ptenblind,DG OML1,AS,57.706496294806996,13.708681183920584,-43.997815110886414,-71.98064653705265,-38.791459767014295,33.189186770038354
M34_ptenblind,DG OML1,GZ,104.9765309979839,39.53179565992225,-65.44473533806165,-30.871031714267417,-15.716767143589001,15.154264570678416
M34_ptenblind,HIL,AS,76.14003614565729,56.150034105014264,-19.990002040643027,-63.26347310372054,-224.29376395916245,-161.0302908554419
M34_ptenblind,HIL,GZ,74.74254133514546,39.81802603223748,-34.92451530290798,-313.7998558598324,-772.8595752786258,-459.0597194187934
M3_pten,CA1,AS,-0.5503541174336133,-0.5066334235800319,0.04372069385358135,-275.22417411674695,-207.471585306719,67.75258881002796
M3_pten,CA1,GZ,-5.972227393007674,1.9084643292170673,7.880691722224741,-415.54728705552577,-310.36293571764,105.18435133788574
M3_pten,CA1 SLM,AS,-20.53769858208847,-0.26483256629191637,20.272866015796556,-182.08582938189596,-215.5185838402995,-33.43275445840354
M3_pten,CA1 SLM,GZ,-32.07263219391494,-0.8187789643537194,31.253853229561223,-299.27720185008394,-331.9889756499743,-32.71177379989035
M3_pten,CA1 SP,AS,-1.1739014636857683,1.184917167019658,2.3588186307054264,-292.8476121370768,-203.0728077657654,89.7748043713114
M3_pten,CA1 SP,GZ,2.575110829820381,-4.308721070648517,-6.8838319004688975,-412.52734302230806,-291.7984925984034,120.72885042390465
M3_pten,DG GCL1,AS,-20.55137508332908,0.6170248436500997,21.16839992697918,202.7597963382775,-219.30069877234075,-422.06049511061826
M3_pten,DG GCL1,GZ,-10.037106153202906,-3.2098421486475117,6.827264004555394,226.71363250686937,-381.7912450905055,-608.5048775973748
M3_pten,DG GCL2,AS,-98.07154024182235,-10.969191798096027,87.10234844372633,-202.77466372875205,-23.042058878749533,179.7326048500025
M3_pten,DG GCL2,GZ,-77.25507003470949,-30.781516892081083,46.473553142628404,57.16451767126959,-17.21522152315289,-74.37973919442248
M3_pten,DG MML1,AS,16.358840967216935,-0.5698826002038027,-16.928723567420736,151.27500162085062,-221.2726668643204,-372.547668485171
M3_pten,DG MML1,GZ,21.80306443021446,1.1121961805555527,-20.690868249658905,152.03416258674082,-359.80560914197696,-511.8397717287178
M3_pten,DG MML2,AS,14.356487658211767,14.98674987289977,0.6302622146880026,-96.00350039268788,115.87671444348996,211.88021483617786
M3_pten,DG MML2,GZ,32.58731428129584,46.22614597334226,13.638831692046423,181.4862633604229,371.2144862107241,189.7282228503012
M3_pten,DG OML1,AS,7.703850752141588,0.2324786434189794,-7.471372108722608,-5.063563821361601,-220.35807165037716,-215.29450782901554
M3_pten,DG OML1,GZ,9.564307428175402,3.5349527994791687,-6.029354628696233,-54.68420264617878,-339.0470410956712,-284.3628384494924
M3_pten,DG OML2,AS,6.279674637348146,-11.90392379565621,-18.183598433004356,-45.909431195627846,113.2909898771126,159.20042107274043
M3_pten,DG OML2,GZ,7.810575871173928,-53.13093944262427,-60.94151531379819,176.3650862897029,494.28508320792776,317.91999691822485
M3_pten,HIL,AS,44.50100949963038,-1.1607253613911637,-45.66173486102154,140.51946052197275,-189.43292466672227,-329.952385188695
M3_pten,HIL,GZ,22.060584462632892,-7.595361103110593,-29.655945565743487,208.61624250113522,-355.91567409494536,-564.5319165960806
M5_Pten,CA1,AS,-3.839738330369512,-2.7276437387964654,1.1120945915730465,-137.04752097650848,-148.6805371441075,-11.63301616759901
M5_Pten,CA1,GZ,-2.952526461693557,0.29863630022322,3.251162761916777,-280.4719685205345,-247.36530384358534,33.10666467694918
M5_Pten,CA1 SLM,AS,8.432217571131718,-0.34170042741111506,-8.773917998542833,-108.05818549824947,-172.04365167804355,-63.985466179794074
M5_Pten,CA1 SLM,GZ,15.807449176747316,4.201932986211116,-11.6055161905362,-337.01111840420083,-328.7689244719244,8.24219393227645
M5_Pten,CA1 SP,AS,7.677395325487533,-2.514371917245157,-10.19176724273269,-95.24010622649767,-95.36335237929292,-0.12324615279524664
M5_Pten,CA1 SP,GZ,7.07810924899194,-4.537345077584962,-11.615454326576902,-210.7411368948514,-165.88776563872221,44.85337125612918
M5_Pten,DG GCL1,AS,251.8772993551192,-70.72633960014456,-322.60363895526376,576.0492348572031,-132.54822537117485,-708.5974602283779
M5_Pten,DG GCL1,GZ,141.37317288306446,-38.249108099168346,-179.6222809822328,-89.84650158491296,-586.0564971137661,-496.20999552885314
M5_Pten,DG GCL2,AS,-604.8637058423907,-169.24726146827615,435.6164443741145,-1109.0175264603865,-809.9945936672209,299.02293279316564
M5_Pten,DG GCL2,GZ,-41.38921922253005,-72.26286857358872,-30.873649351058667,-1465.7975493884474,-592.5722001587201,873.2253492297273
M5_Pten,DG MML1,AS,-242.68119272165382,29.183429220448364,271.8646219421022,-325.32654230690264,-205.43284435984503,119.8936979470576
M5_Pten,DG MML1,GZ,-170.69465883316522,26.82294713736679,197.517605970532,-667.7876456839141,-504.75375602061075,163.03388966330334
M5_Pten,DG MML2,AS,-135.2915784180521,170.95482867697004,306.24640709502216,-1358.3984797096516,-100.57124854123444,1257.8272311684173
M5_Pten,DG MML2,GZ,-164.16980374243943,313.18988008982575,477.3596838322652,-385.4220030737705,1227.4240319566927,1612.846035030463
M5_Pten,DG OML1,AS,90.12554978470673,2.1806158721555855,-87.94493391255115,-113.08883730306664,-180.73863790949628,-67.64980060642964
M5_Pten,DG OML1,GZ,91.22540873865928,4.941210768739202,-86.28419796992009,-426.7117859887295,-404.72789112242947,21.983894866300034
M5_Pten,HIL,AS,167.4154237713047,76.8050283335141,-90.61039543779059,930.8493839754603,560.9806063052248,-369.86877767023554
M5_Pten,HIL,GZ,-11.45725865517891,-19.27986672397032,-7.822608068791409,-348.0856223184552,-504.2161308723347,-156.1305085538795
m28_ptenblind,CA1,AS,-32.50669396441913,-5.280664611452178,27.22602935296695,-66.50321612219594,-429.0569986050554,-362.55378248285945
m28_ptenblind,CA1,GZ,-10.991865588772686,-9.100350000525037,1.8915155882476498,-38.721428542840684,-134.54112068551487,-95.81969214267419
m28_ptenblind,CA1 SLM,AS,8.850107412509006,-12.781034243584484,-21.63114165609349,-43.71199865064185,-486.34890006290925,-442.6369014122674
m28_ptenblind,CA1 SLM,GZ,21.173292590725815,-24.84137012112525,-46.01466271185107,-5.979506695856815,-130.34976896692493,-124.37026227106811
m28_ptenblind,CA1 SP,AS,-15.724308960273106,-49.58180576334217,-33.85749680306906,-84.95956041011573,-299.9821935946516,-215.0226331845359
m28_ptenblind,CA1 SP,GZ,-12.537433255103345,-27.28240720687374,-14.744973951770394,-56.26603423571978,-49.240612592853495,7.025421642866284
m28_ptenblind,DG,AS,18.09479940272962,23.42691445899437,5.332115056264751,177.75976014829772,-265.0160354202714,-442.77579556856915
m28_ptenblind,DG,GZ,28.405589442099313,40.068308512369796,11.662719070270484,417.39792120261274,747.4989109351988,330.100989732586
m28_ptenblind,DG GCL1,AS,-163.62427323675513,-646.627357853648,-483.0030846168929,-907.4440160727597,-1153.9444112184135,-246.50039514565378
m28_ptenblind,DG GCL1,GZ,-186.05915192634828,-652.5946278725902,-466.53547594624195,-1580.0870676509671,-2099.5241227697156,-519.4370551187485
m28_ptenblind,DG GCL2,AS,-165.49066997245149,-547.0754651055821,-381.5847951331306,-844.3109820987178,-1206.2113565363165,-361.90037443759877
m28_ptenblind,DG GCL2,GZ,-324.82454853673124,-292.60442590200773,32.22012263472351,-1267.9913004890816,-1531.5861936475412,-263.5948931584596
m28_ptenblind,DG MML1,AS,-147.19895755543428,165.3879511996609,312.5869087550952,-914.3230786462047,-771.6073831581971,142.71569548800767
m28_ptenblind,DG MML1,GZ,-387.21195344002007,385.94156695950426,773.1535203995243,-1666.5488696489174,-845.6058814877371,820.9429881611803
m28_ptenblind,DG MML2,AS,154.22898119367895,189.43705156331174,35.20807036963279,-12.587693716975146,-656.4405607484682,-643.852867031493
m28_ptenblind,DG MML2,GZ,282.54004447690903,356.3008769865959,73.76083250968685,111.87181316438267,182.0978571156988,70.22604395131611
m28_ptenblind,DG OML1,AS,113.58976242182511,55.67016991812858,-57.919592503696535,-209.52778733122898,-459.58687556729774,-250.05908823606876
m28_ptenblind,DG OML1,GZ,214.5396817115045,230.00055743801983,15.460875726515326,-370.24232207751663,-23.235539920994466,347.00678215652215
m28_ptenblind,DG OML2,AS,-14.36371083759587,-10.18598805303158,4.17772278456429,136.8779384248979,-420.904689804647,-557.7826282295449
m28_ptenblind,DG OML2,GZ,18.69632351783013,92.09842066611009,73.40209714827995,377.0094699546938,638.3153884137263,261.30591845903245
m28_ptenblind,HIL,AS,74.35980599249716,258.57921146675767,184.2194054742605,-408.39763498899845,1048.9756932397106,1457.373328228709
m28_ptenblind,HIL,GZ,132.80191729145668,21.15365766709853,-111.64825962435815,-867.5506466724835,-791.7582207038754,75.79242596860809
