TimeFrame,Metric,n_pairs,Base_mean,Base_SD,CNO_mean,CNO_SD,MeanDelta,SD_Delta,SEM_Delta,t,df,p_ttest,W,p_wilcoxon,cohens_dz,mice
GZ,PeakSink_CSD,5,-476.4324905047856,269.8648386918179,-451.4108384404626,322.66976270267924,25.021652064323018,179.9451043592406,80.47389711311114,0.3109287975597045,4,0.7713840253885371,5.0,0.625,0.13905158550115398,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
GZ,PeakSource_CSD,5,299.43046939848995,148.71163609888916,335.9353998247094,166.68612881130227,36.5049304262195,135.33684930968812,60.52447898342162,0.6031432412035903,4,0.5789426932264552,4.0,0.4375,0.269733857500156,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
GZ,MaxAbs_CSD,5,476.4324905047856,269.8648386918179,470.16033684586057,304.6339941987663,-6.272153658925083,169.66370676617709,75.8759163287526,-0.08266330032509009,4,0.9380906255802621,6.0,0.8125,-0.03696815175427638,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
GZ,RMS_CSD,5,152.646170545092,75.03489755687086,154.60129613437923,95.9116758730123,1.9551255892872468,33.35634447411465,14.917410745003966,0.13106333416085922,4,0.9020526943925493,5.0,0.625,0.058613304908290316,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
GZ,PeakNeg_Voltage,5,-1315.0095901043196,560.9467257449677,-1278.6654979962811,631.8087647531113,36.344092108038296,301.58810115917777,134.8742990794009,0.2694664020952014,4,0.8009003072864773,7.0,1.0,0.1205090385474324,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
GZ,PeakPos_Voltage,5,653.3666362978921,420.0329795660082,753.8472707552531,378.86263083725873,100.48063445736105,245.54371609923206,109.81048812915847,0.9150367707971236,4,0.41194330689650405,5.0,0.625,0.4092168842828526,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
GZ,MaxAbs_Voltage,5,1315.0095901043196,560.9467257449677,1364.2722455781266,570.8713349576796,49.26265547380691,213.85622651043528,95.63941197778517,0.5150873939422534,4,0.6336491823908039,5.0,0.625,0.23035408544161842,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
GZ,RMS_Voltage,5,559.2751958073833,213.67273075685904,623.9807721876615,213.77036700628844,64.70557638027825,92.74861501431631,41.47844159819378,1.559980893378017,4,0.193778898806568,3.0,0.3125,0.6976446642388195,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
AS,PeakSink_CSD,5,-426.22365944886064,270.69137962099376,-415.7029240638497,337.90651953140156,10.52073538501097,393.14147601566196,175.81821302912465,0.05983871183623161,4,0.95515441324281,7.0,1.0,0.026760685470367022,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
AS,PeakSource_CSD,5,435.2566178350341,422.6991378563561,325.2057485476751,283.4296188916371,-110.05086928735899,528.8383948673323,236.50372000704618,-0.4653240519180004,4,0.6659041803855354,4.0,0.4375,-0.20809924233085805,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
AS,MaxAbs_CSD,5,493.7395665338288,384.16023317884094,416.41727474552863,336.89078744161094,-77.32229178830016,484.9558495056615,216.87884911616337,-0.356522971711664,4,0.7394600965528483,7.0,1.0,-0.15944192005750304,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
AS,RMS_CSD,5,147.5822623284092,95.02398497661108,146.8930672748703,117.0846894326733,-0.6891950535388787,135.94164326334766,60.79495106197434,-0.011336386352812648,4,0.9914979378652685,6.0,0.8125,-0.005069786100817999,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
AS,PeakNeg_Voltage,5,-1087.8340513227542,518.5107381868071,-1015.4544142154195,489.77597934738105,72.37963710733479,302.75914236245006,135.3980046263949,0.5345694517954873,4,0.6212786502295922,4.0,0.4375,0.2390667265819013,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
AS,PeakPos_Voltage,5,551.8461423060943,459.3339521695343,612.4103122906681,621.9673516259735,60.5641699845739,789.0369529303885,352.8680527023301,0.171634041451931,4,0.8720584136488634,5.0,0.625,0.07675707678790689,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
AS,MaxAbs_Voltage,5,1087.8340513227542,518.5107381868071,1054.113350901955,536.3060963109286,-33.72070042079922,373.984751224451,167.25106525724402,-0.20161725349213402,4,0.8500541121166125,5.0,0.625,-0.0901659768490437,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
AS,RMS_Voltage,5,467.0428597143491,204.7367760358306,475.8510027236669,236.0059740983075,8.808143009317831,223.46869827918835,99.93824003913107,0.08813586276753503,4,0.9340048591923148,7.0,1.0,0.03941555608076021,M13_pten;M34_ptenblind;M3_pten;M5_Pten;m28_ptenblind
