Mouse,Group,Type,Session_ID,Channel,Region,TimeFrame,CSD_Val,Voltage_Val,Theta_Val
M13_pten,Base,PTEN,m13s2,2,CA1,AS,-3.228919468079879,-69.82365379004747,-0.003206019346714903
M13_pten,Base,PTEN,m13s2,4,CA1,AS,-3.228919468079879,-80.60345983033434,-0.01502650111526771
M13_pten,Base,PTEN,m13s2,6,CA1,AS,-3.126721904663842,-87.81527103116021,-0.02277289947415046
M13_pten,Base,PTEN,m13s2,8,CA1,AS,-35.53271551618139,-89.50218300525651,-0.02609651395487884
M13_pten,Base,PTEN,m13s2,10,CA1 SLM,AS,-28.15306920740705,-50.94002322803621,-0.02231209302738224
M13_pten,Base,PTEN,m13s2,12,CA1 SLM,AS,19.92624340248747,19.06659966111755,-0.01784027430784138
M13_pten,Base,PTEN,m13s2,14,DG OML1,AS,9.543518510691268,67.91377744848191,-0.03952965512338266
M13_pten,Base,PTEN,m13s2,16,DG OML1,AS,14.97400236157904,109.1982844231268,-0.03256831254404993
M13_pten,Base,PTEN,m13s2,18,DG MML1,AS,35.60328478891035,138.5622532878332,-0.02971593914335469
M13_pten,Base,PTEN,m13s2,20,DG MML1,AS,26.18910125126034,136.9954245257141,-0.01316210550554895
M13_pten,Base,PTEN,m13s2,22,DG MML1,AS,21.66860919286715,106.964354845346,-0.005916703707607713
M13_pten,Base,PTEN,m13s2,24,DG GCL1,AS,-62.19547263473218,66.30161552051753,-0.01527911167964756
M13_pten,Base,PTEN,m13s2,26,DG GCL1,AS,-151.3742960603973,113.150179291015,-0.01859038725560029
M13_pten,Base,PTEN,m13s2,28,HIL,AS,-54.30696387237482,326.6790337049654,-0.02157935381477712
M13_pten,Base,PTEN,m13s2,30,HIL,AS,17.07710357672018,613.6376423231526,-0.00420191527205915
M13_pten,Base,PTEN,m13s2,32,HIL,AS,136.9537767781392,876.541386082877,-0.01455084457260956
M13_pten,Base,PTEN,m13s2,34,HIL,AS,227.6624896829812,965.2321112639148,-0.03243925308604642
M13_pten,Base,PTEN,m13s2,36,HIL,AS,539.3348347125219,733.3732870414237,-0.05347407583809248
M13_pten,Base,PTEN,m13s2,38,HIL,AS,-80.28021464778395,-211.6655775277789,-0.05197038897208449
M13_pten,Base,PTEN,m13s2,40,DG GCL2,AS,-437.2637364284134,-1065.315779884745,-0.1184496654249104
M13_pten,Base,PTEN,m13s2,42,DG GCL2,AS,-476.1433711137309,-1447.796648392615,-0.1301362847844542
M13_pten,Base,PTEN,m13s2,44,DG GCL2,AS,-135.7968585734618,-1285.859430327113,-0.0727228756572505
M13_pten,Base,PTEN,m13s2,46,DG MML2,AS,190.0711494849559,-865.9167102530027,-0.07301192654979859
M13_pten,Base,PTEN,m13s2,48,DG MML2,AS,170.0412315715375,-614.2053296685492,-0.05878897481338195
M13_pten,Base,PTEN,m13s2,50,DG OML2,AS,40.98698662745304,-541.7463714765199,-0.03385978870395444
M13_pten,Base,PTEN,m13s2,52,DG OML2,AS,-66.41268612900843,-500.5359132184108,-0.0130842227536208
M13_pten,Base,PTEN,m13s2,54,DG,AS,20.10076336332502,-383.1350531701344,-0.005873622348096961
M13_pten,Base,PTEN,m13s2,56,DG,AS,59.87284658650776,-313.9882993287184,-0.009049934921831974
M13_pten,Base,PTEN,m13s2,58,DG,AS,-18.83144104736376,-324.844608739128,-0.00446164229536972
M13_pten,Base,PTEN,m13s2,60,DG,AS,-12.40196430657339,-303.0560709895169,-0.00910482253729663
M13_pten,Base,PTEN,m13s2,62,DG,AS,-4.364776161039244,-258.6546409940553,-0.009680513199721002
M13_pten,Base,PTEN,m13s2,64,DG,AS,-4.364776161039244,-205.0903008610458,
M13_pten,Base,PTEN,m13s2,2,CA1,GZ,,-150.6406921155816,-0.003206019346714903
M13_pten,Base,PTEN,m13s2,4,CA1,GZ,3.618188294820104,-175.4049563317701,-0.01502650111526771
M13_pten,Base,PTEN,m13s2,6,CA1,GZ,17.60871830412533,-205.3565161225174,-0.02277289947415046
M13_pten,Base,PTEN,m13s2,8,CA1,GZ,-35.88549138298697,-248.5099109394703,-0.02609651395487884
M13_pten,Base,PTEN,m13s2,10,CA1 SLM,GZ,-33.37093381668734,-253.5306490384616,-0.02231209302738224
M13_pten,Base,PTEN,m13s2,12,CA1 SLM,GZ,9.05788980110111,-221.3715099897541,-0.01784027430784138
M13_pten,Base,PTEN,m13s2,14,DG OML1,GZ,4.252317821417483,-198.2230995822824,-0.03952965512338266
M13_pten,Base,PTEN,m13s2,16,DG OML1,GZ,24.97549506629963,-180.8855747064155,-0.03256831254404993
M13_pten,Base,PTEN,m13s2,18,DG MML1,GZ,97.42604295905704,-178.6288902407787,-0.02971593914335469
M13_pten,Base,PTEN,m13s2,20,DG MML1,GZ,76.15218623991932,-253.8626864458542,-0.01316210550554895
M13_pten,Base,PTEN,m13s2,22,DG MML1,GZ,18.55832234801488,-395.5432175086696,-0.005916703707607713
M13_pten,Base,PTEN,m13s2,24,DG GCL1,GZ,-148.676491256979,-541.3899944829762,-0.01527911167964756
M13_pten,Base,PTEN,m13s2,26,DG GCL1,GZ,-139.5292447755118,-526.151986621217,-0.01859038725560029
M13_pten,Base,PTEN,m13s2,28,HIL,GZ,-29.0256244668889,-350.8766434081416,-0.02157935381477712
M13_pten,Base,PTEN,m13s2,30,HIL,GZ,28.15553272332507,-135.9219064027034,-0.00420191527205915
M13_pten,Base,PTEN,m13s2,32,HIL,GZ,121.1473640082197,4.354739098952328,-0.01455084457260956
M13_pten,Base,PTEN,m13s2,34,HIL,GZ,99.80399082079717,28.56514583169157,-0.03243925308604642
M13_pten,Base,PTEN,m13s2,36,HIL,GZ,159.2119467761322,-197.8545796224779,-0.05347407583809248
M13_pten,Base,PTEN,m13s2,38,HIL,GZ,28.24973586771096,-831.0018878566362,-0.05197038897208449
M13_pten,Base,PTEN,m13s2,40,DG GCL2,GZ,-253.5507921545436,-1432.695540323534,-0.1184496654249104
M13_pten,Base,PTEN,m13s2,42,DG GCL2,GZ,-834.0947835084523,-1660.426867414093,-0.1301362847844542
M13_pten,Base,PTEN,m13s2,44,DG GCL2,GZ,-217.6961969796838,-1052.224311972926,-0.0727228756572505
M13_pten,Base,PTEN,m13s2,46,DG MML2,GZ,479.1088624864299,-83.05614803357496,-0.07301192654979859
M13_pten,Base,PTEN,m13s2,48,DG MML2,GZ,380.0896959328475,456.1245739084176,-0.05878897481338195
M13_pten,Base,PTEN,m13s2,50,DG OML2,GZ,181.3166691706728,617.8938299229585,-0.03385978870395444
M13_pten,Base,PTEN,m13s2,52,DG OML2,GZ,-28.55945520897954,589.9206404427417,-0.0130842227536208
M13_pten,Base,PTEN,m13s2,54,DG,GZ,5.172237273185497,560.4739098951762,-0.005873622348096961
M13_pten,Base,PTEN,m13s2,56,DG,GZ,51.94546152876861,528.1653001359552,-0.009049934921831974
M13_pten,Base,PTEN,m13s2,58,DG,GZ,-32.72968604606079,436.2331164289091,-0.00446164229536972
M13_pten,Base,PTEN,m13s2,60,DG,GZ,19.50989526791254,386.5765911934505,-0.00910482253729663
