Mouse,Group,Region,TimeFrame,nChannels,Mean_CSD,Mean_Voltage
M3_pten,Base,CA1,GZ,4,-5.972227393007674,-415.54728705552577
M3_pten,Base,CA1 SLM,AS,3,-20.53769858208847,-182.08582938189596
M3_pten,Base,CA1 SLM,GZ,3,-32.07263219391494,-299.27720185008394
M3_pten,Base,CA1 SP,AS,3,-1.1739014636857683,-292.8476121370768
M3_pten,Base,CA1 SP,GZ,3,2.575110829820381,-412.52734302230806
M3_pten,Base,DG,AS,4,20.518902705675277,-69.06195561061126
M3_pten,Base,DG,GZ,4,10.06793696160193,77.36997419604603
M3_pten,Base,DG GCL1,AS,2,-20.55137508332908,202.7597963382775
M3_pten,Base,DG GCL1,GZ,2,-10.037106153202906,226.71363250686937
M3_pten,Base,DG GCL2,AS,2,-98.07154024182235,-202.77466372875205
M3_pten,Base,DG GCL2,GZ,2,-77.25507003470949,57.16451767126959
M3_pten,Base,DG MML1,AS,3,16.358840967216935,151.27500162085062
M3_pten,Base,DG MML1,GZ,3,21.80306443021446,152.03416258674082
M3_pten,Base,DG MML2,AS,3,14.356487658211767,-96.00350039268788
M3_pten,Base,DG MML2,GZ,3,32.58731428129584,181.4862633604229
M3_pten,Base,DG OML1,AS,2,7.703850752141588,-5.063563821361601
M3_pten,Base,DG OML1,GZ,2,9.564307428175402,-54.68420264617878
M3_pten,Base,DG OML2,AS,2,6.279674637348146,-45.909431195627846
M3_pten,Base,DG OML2,GZ,2,7.810575871173928,176.3650862897029
M3_pten,Base,HIL,AS,4,44.50100949963038,140.51946052197275
M3_pten,Base,HIL,GZ,4,22.060584462632892,208.61624250113522
M3_pten,CNO,CA1,AS,5,-0.5066334235800319,-207.471585306719
M3_pten,CNO,CA1,GZ,5,1.9084643292170673,-310.36293571764
M3_pten,CNO,CA1 SLM,AS,3,-0.26483256629191637,-215.5185838402995
M3_pten,CNO,CA1 SLM,GZ,3,-0.8187789643537194,-331.9889756499743
M3_pten,CNO,CA1 SP,AS,2,1.184917167019658,-203.0728077657654
M3_pten,CNO,CA1 SP,GZ,2,-4.308721070648517,-291.7984925984034
M3_pten,CNO,DG GCL1,AS,2,0.6170248436500997,-219.30069877234075
M3_pten,CNO,DG GCL1,GZ,2,-3.2098421486475117,-381.7912450905055
M3_pten,CNO,DG GCL2,AS,3,-10.969191798096027,-23.042058878749533
M3_pten,CNO,DG GCL2,GZ,3,-30.781516892081083,-17.21522152315289
M3_pten,CNO,DG MML1,AS,3,-0.5698826002038027,-221.2726668643204
M3_pten,CNO,DG MML1,GZ,3,1.1121961805555527,-359.80560914197696
M3_pten,CNO,DG MML2,AS,3,14.98674987289977,115.87671444348996
