TimeFrame,Channel,n_mice,MeanDelta_CSD,SEM_CSD,p_CSD,MeanDelta_Voltage,SEM_Voltage,p_Voltage,Regions
AS,2,5,-1.9453207519015794,8.345890070039006,0.8271354121139316,-26.138310884715708,48.1450183065616,0.6160294636955181,CA1|CA1 SP
AS,4,5,-1.9453207519015794,8.345890070039006,0.8271354121139316,-42.80624048872649,54.55246148302589,0.47650753889513997,CA1 SP/CA1|CA1 SP
AS,6,5,3.2436951398963005,7.222835615508293,0.6766244929542891,-57.978413976298114,65.26979349171681,0.42457521614215,CA1/CA1 SP|CA1
AS,8,5,12.69472472504292,12.132229565950011,0.3544543144872222,-77.62188226320406,71.8677609911221,0.3408871077467267,CA1/CA1 SP|CA1
AS,10,5,2.099768554724487,6.961474186709369,0.7779675500545274,-108.88881417036818,85.97265306553497,0.27404652130956153,CA1/CA1 SLM|CA1
AS,12,5,-10.072853649628264,13.093404503994636,0.48462074260584886,-144.3640450045173,99.3669475762975,0.21992383703144402,CA1/CA1 SLM|CA1/CA1|CA1 SLM
AS,14,5,-25.167093146034475,15.913361436529211,0.1889216372042335,-169.90972364925804,102.65543953499593,0.17323711336090294,CA1/CA1 SLM/CA1|CA1 SLM/DG OML1|CA1 SLM
AS,16,5,-5.11127014156506,14.718789791190545,0.7458963744472407,-169.31638922957063,95.40946229078446,0.15062436582076125,CA1 SLM/CA1|DG OML1/DG OML1|CA1 SLM
AS,18,5,2.6499065877378287,9.641309348881059,0.7970441819910582,-165.28505578958914,79.38414006914412,0.10577233770397602,CA1 SLM/CA1 SLM|DG OML1/DG MML1|CA1 SLM
AS,20,5,4.439382629943717,7.746152566627053,0.5972504700500518,-165.26760804028575,75.20247924125543,0.09289731296900572,CA1 SLM/CA1 SLM|DG MML1/CA1 SLM|DG OML1/DG MML1|DG OML1/DG OML1
AS,22,5,30.42227559007453,20.431190451405083,0.21071842855812703,-170.59951557817584,75.40940613856779,0.0864592312275329,CA1 SLM|DG MML1/DG MML1/DG OML1/DG OML1|DG MML1
AS,24,5,-5.334890530001616,56.306550646076694,0.929072152497558,-206.10365401938174,99.81454099604518,0.10785581842417681,DG GCL1|DG MML1/DG OML1/DG OML1|DG GCL1/DG OML1|DG MML1
AS,26,5,-149.36639589989437,113.19413081517834,0.2574407347953136,-223.19174603373227,119.20034741031027,0.13445604603392464,DG GCL1/DG MML1/DG MML1|DG GCL1/DG OML1|DG GCL1
AS,28,5,-138.11771966418348,87.2647336505867,0.18864640058746532,-77.01757938092376,159.4862933772929,0.65439964529362,DG MML1/DG MML1|DG GCL1/HIL|DG GCL1
AS,30,5,156.36110490685974,83.72521868275126,0.13521365458557885,205.1834462339244,310.58821642426113,0.5449575239202532,DG GCL1|DG MML1/DG GCL1|HIL/DG MML1/DG MML1|DG GCL1/HIL
AS,32,5,274.84840760289,143.70149786127402,0.1283557304449772,319.1467685041415,420.7511857820288,0.4903785628733085,DG GCL1/DG GCL1|HIL/DG MML1|HIL/HIL
AS,34,5,-35.18121206538487,76.00774427538316,0.6675228102330681,146.0094958466696,416.28406488653656,0.7434726586486939,DG GCL1/DG GCL1|HIL/HIL
AS,36,5,-152.17052211414867,49.750847370729446,0.03770809532794198,3.5074390498023944,450.47251256896624,0.99416047374626,DG GCL1|HIL/HIL/HIL|DG GCL1
AS,38,5,9.890237851807735,69.81814831402903,0.8941989882177312,56.6033235396791,437.7943505778392,0.9033672000527938,HIL/HIL|DG GCL2
AS,40,5,-115.20446072712897,72.82691646458086,0.18883548342455836,99.76536376779731,366.48484007697107,0.7989251543699303,DG GCL2/HIL
AS,42,5,135.42628466366446,67.77595306652731,0.11636254764692629,244.56106036561317,343.8467620286242,0.5162073821698281,DG GCL2/HIL
AS,44,5,224.31299798086178,151.75093296085925,0.2134368577511957,246.53088318741737,286.8359175262763,0.4385330885363231,DG GCL2|DG MML2/DG GCL2|HIL/HIL
AS,46,5,-53.500561592760455,116.28990570113838,0.669368447393601,-13.978399408719833,137.54002473863355,0.9239399525257165,DG GCL2/DG GCL2|HIL/DG MML2/HIL
AS,48,5,-76.24100683243788,65.68899036521422,0.31033841146563923,-239.90540867977728,204.83277421667606,0.3065162680070479,DG GCL2/DG MML2/DG MML2|HIL/HIL
AS,50,5,-91.10249696980767,59.12837933982248,0.1982250124376378,-388.8245535659527,285.64921707786067,0.2450875116666993,DG GCL2/DG GCL2|HIL/DG MML2|DG GCL2/DG OML2/HIL|DG GCL2
AS,52,5,-249.82898423129328,287.0672285493029,0.43325825392300654,-420.03303398458036,325.2399417941788,0.2661197903665862,DG GCL2/DG MML2/DG MML2|DG GCL2/DG OML2/HIL|DG GCL2
AS,54,5,142.49420757752816,111.65356464722733,0.27094346694659177,-167.5412815726003,136.1184783204209,0.2858061308154217,DG GCL2/DG MML2/DG OML2|DG GCL2/DG|DG OML2
AS,56,5,19.648331440825128,40.25029336532116,0.6509916334025784,-43.99334151577408,167.42817727263875,0.8057145683749756,DG GCL2/DG OML2/DG OML2|DG MML2/DG|DG OML2
AS,58,5,41.43878001487178,101.02799693659833,0.7026983172371968,60.36649383063681,276.40507008880553,0.8378085738821102,DG/DG GCL2/DG MML2|DG GCL2/DG|DG MML2/DG|DG OML2
AS,60,5,67.32299818291216,83.68882948826027,0.4662316076646973,116.01397614538757,297.65493047502434,0.71657701780685,DG/DG MML2/DG|DG MML2
AS,62,5,2.97935229441743,20.224572995325435,0.8900115723500336,93.98783377342713,236.01113887416517,0.7107980635136677,DG/DG MML2/DG|DG OML2
AS,64,5,2.97935229441743,20.224572995325435,0.8900115723500336,62.20483894055776,178.6988674856897,0.7453135838727433,DG/DG MML2/DG OML2|DG MML2/DG|DG OML2
GZ,2,0,nan,nan,nan,29.196651181114074,25.3650032346745,0.31383255728478265,CA1|CA1 SP
GZ,4,5,1.9888165154518662,6.610675928146692,0.7785190885894885,23.362131641018145,27.509193818301668,0.44358198682592276,CA1 SP/CA1|CA1 SP
GZ,6,5,-2.8005271293544793,2.611129202995807,0.34387761719933096,16.350966483222443,30.835783999778553,0.6240025954036231,CA1/CA1 SP|CA1
GZ,8,5,15.482921054824699,14.69549820380539,0.3515082920107335,11.471566863563018,35.75194092959742,0.7643767300021409,CA1/CA1 SP|CA1
GZ,10,5,10.76279858149436,10.781113390461526,0.3746309174948511,-12.015039055294887,41.45841937317676,0.7863642258095286,CA1/CA1 SLM|CA1
GZ,12,5,-2.5543239875588704,8.084313134360434,0.7678323425474733,-45.92058837931323,47.59905488306262,0.389308214318942,CA1/CA1 SLM|CA1/CA1|CA1 SLM
GZ,14,5,-22.079542764133993,14.767530450667032,0.20919759281501785,-78.99641702760879,54.29872840150762,0.2194016733659508,CA1/CA1 SLM/CA1|CA1 SLM/DG OML1|CA1 SLM
GZ,16,5,-10.186966444070432,15.10815050347323,0.5371004906128891,-90.25434849991132,55.884618562115136,0.18161001887653538,CA1 SLM/CA1|DG OML1/DG OML1|CA1 SLM
GZ,18,5,-2.0744413849974412,28.207125304102213,0.9449046859382096,-89.74458304267364,52.59479782546951,0.16313869001134584,CA1 SLM/CA1 SLM|DG OML1/DG MML1|CA1 SLM
GZ,20,5,22.388056650950087,35.31075875092215,0.5605084738371229,-99.98419899110776,33.8612739853677,0.041854379884386526,CA1 SLM/CA1 SLM|DG MML1/CA1 SLM|DG OML1/DG MML1|DG OML1/DG OML1
GZ,22,5,66.5507851049017,53.87488452634464,0.28431957700385624,-122.67792132296972,44.498569994787,0.05101186377498411,CA1 SLM|DG MML1/DG MML1/DG OML1/DG OML1|DG MML1
GZ,24,5,55.14760843945927,94.97565398273365,0.5926184485426189,-191.0622248777958,104.19708845967594,0.14062864727755162,DG GCL1|DG MML1/DG OML1/DG OML1|DG GCL1/DG OML1|DG MML1
GZ,26,5,-149.19242800937238,106.3944232627705,0.23347655064209338,-266.0927868924344,141.92865596047346,0.1340793501940634,DG GCL1/DG MML1/DG MML1|DG GCL1/DG OML1|DG GCL1
GZ,28,5,-15.402239404645202,84.10385357285756,0.8636011195178166,-173.12192604411584,169.16654398540766,0.36397964676086914,DG MML1/DG MML1|DG GCL1/HIL|DG GCL1
GZ,30,5,148.85476335690188,84.22632339417129,0.15191394183063306,-28.483827989731516,207.2804262176539,0.8973407983470436,DG GCL1|DG MML1/DG GCL1|HIL/DG MML1/DG MML1|DG GCL1/HIL
GZ,32,5,42.417691052278116,40.559316286702874,0.3546776251713779,-65.23447898896259,199.48892542397252,0.7600586894691708,DG GCL1/DG GCL1|HIL/DG MML1|HIL/HIL
GZ,34,5,-34.5562832761315,45.408286647383264,0.4890420867804621,-211.44713222803975,176.9250359005883,0.2980518223638833,DG GCL1/DG GCL1|HIL/HIL
GZ,36,5,-93.77927962888566,36.11155385685631,0.060242320559448746,-344.0006141824384,161.6829489293948,0.10047604201463986,DG GCL1|HIL/HIL/HIL|DG GCL1
GZ,38,5,-36.61985869051605,15.116946970414876,0.0725715368408821,-327.89458115963424,146.72840389065303,0.08914415024880872,HIL/HIL|DG GCL2
GZ,40,5,-158.52907676558263,95.13465688921112,0.17096924639638486,-301.1772137580463,130.71133831399698,0.08256228771432382,DG GCL2/HIL
GZ,42,5,98.07272759082069,107.21825764733046,0.41209956759069155,-132.9007290120673,220.4444159160159,0.5791037196802162,DG GCL2/HIL
GZ,44,5,68.50710384296117,127.98582941783512,0.6208359522604222,-86.07883078966171,239.46342809412326,0.7374205471234747,DG GCL2|DG MML2/DG GCL2|HIL/HIL
GZ,46,5,-35.441010530905245,29.371156158763014,0.29404402138126007,-222.5641964273043,133.68195533099023,0.17126798843211713,DG GCL2/DG GCL2|HIL/DG MML2/HIL
GZ,48,5,-67.13869297934383,39.10419166275625,0.16113025722708324,-319.9529448455901,62.739671613204884,0.006984105889953124,DG GCL2/DG MML2/DG MML2|HIL/HIL
GZ,50,5,-15.424817026633528,42.882284777742846,0.7372571329774784,-277.94445076840316,20.356101660723628,0.00016661929816919128,DG GCL2/DG GCL2|HIL/DG MML2|DG GCL2/DG OML2/HIL|DG GCL2
GZ,52,5,43.58295910626919,43.84239858987536,0.3764490405702259,-129.68317376719943,83.65653891590426,0.19603146368108249,DG GCL2/DG MML2/DG MML2|DG GCL2/DG OML2/HIL|DG GCL2
GZ,54,5,6.995227277163326,101.0268819267595,0.9481208694249629,-8.67487683732216,170.4618626260029,0.9618527597820397,DG GCL2/DG MML2/DG OML2|DG GCL2/DG|DG OML2
GZ,56,5,-79.84172839125429,62.004526450941476,0.2673085638195444,72.72194788838121,309.88857889862186,0.825987072422406,DG GCL2/DG OML2/DG OML2|DG MML2/DG|DG OML2
GZ,58,5,66.77652847892901,131.27257994479308,0.6377459566239835,218.03205081614982,399.688036171304,0.6143998158069452,DG/DG GCL2/DG MML2|DG GCL2/DG|DG MML2/DG|DG OML2
GZ,60,5,154.64180261440947,136.84347191849287,0.32162194756664186,303.1476166448392,351.05707265866505,0.4365512175755035,DG/DG MML2/DG|DG MML2
GZ,62,5,-1.5145058978236943,37.291282157733875,0.9695508116418265,223.97794790799358,180.27302663674044,0.2819374164158934,DG/DG MML2/DG|DG OML2
GZ,64,0,nan,nan,nan,137.22809552075609,134.61556274120073,0.3656495384522308,DG/DG MML2/DG OML2|DG MML2/DG|DG OML2
