project,mouse,session,session_label,type,name,start_s,end_s,channel,amplitude,pipeline,run_id,added_by,added_at,entry_id
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,105.584,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,105.866,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,106.419,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,108.478,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,108.86,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,109.219,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,110.834,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,112.783,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,112.905,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,113.278,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,113.729,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,113.844,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,113.948,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,114.254,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,116.512,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,117.188,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,118.147,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,119.326,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,119.58,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,120.116,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,121.108,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,121.278,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,122.729,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,123.481,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,126.952,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,127.551,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,133.364,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,134.113,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
PTEN,33,8,PTEN m33 s8 2024-06-14,ds,m33s8,134.942,,,,ETS dentate-spike export,,Rain,2026-09-04T15:04:09-04:00,8fc4e2c68124
