project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,110.460824,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,112.381434,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,114.147008,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,114.682114,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,137.584287,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,137.718805,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,148.777003,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,180.468297,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,181.250102,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,181.382642,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,185.00581,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
PTEN,60,1,PTEN m60 s1 2025-07-10,ds,m60s1jul10,5,205.569244,spike,Dentate Spike,Rain Younger,2026-09-22T13:56:42-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 427 stamp(s) moved by -152.7 to 104.5 ms; 97 left where they were. No labels changed.",Shahriar Tafti,adc84ab8c916
