project,mouse,session,session_label,type,name,version,start_s,label,label_name,decided_by,version_at,version_note,added_by,entry_id
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,25.096,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,36.913,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,38.740557,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,40.386996,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,43.209702,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,69.652894,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,70.570435,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,94.782,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,149.770953,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,160.355388,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,199.945,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
PTEN,59,4,PTEN m59 s4 2025-07-07,ds,m59s4jul7,5,253.439374,spike,Dentate Spike,Rain Younger,2026-09-22T14:09:30-04:00,"Aligned to the mean magnitude over 16 channels, ±100 ms, reading v4. 341 stamp(s) moved by -80.9 to 65.1 ms; 74 left where they were. No labels changed.",Shahriar Tafti,dbf2676df67a
