Row,Region
1,CA1 SP
2,CA1 SP
3,CA1 SP
4,CA1 SP
5,CA1
6,CA1
7,CA1
8,CA1
9,CA1
10,CA1
11,CA1 SLM
12,CA1 SLM
13,CA1 SLM
14,CA1 SLM
15,CA1 SLM
16,CA1 SLM
17,DG OML1
18,DG OML1
19,DG OML1
20,DG OML1
21,DG MML1
22,DG MML1
23,DG MML1
24,DG MML1
25,DG GCL1
26,DG GCL1
27,DG GCL1
28,DG GCL1
29,DG GCL1
30,HIL
31,HIL
32,HIL
33,HIL
34,HIL
35,HIL
36,HIL
37,HIL
38,HIL
39,HIL
40,HIL
41,HIL
42,HIL
43,HIL
44,HIL
45,DG GCL2
46,DG GCL2
47,DG GCL2
48,DG GCL2
49,DG GCL2
50,DG GCL2
51,DG MML2
52,DG MML2
53,DG MML2
54,DG MML2
55,DG OML2
56,DG OML2
57,DG OML2
58,DG
59,DG
60,DG
61,DG
62,DG
63,DG
64,DG
