Row,Region
1,CA1 SP
2,CA1 SP
3,CA1 SP
4,CA1 SP
5,CA1
6,CA1
7,CA1
8,CA1
9,CA1
10,CA1
11,CA1
12,CA1
13,CA1 SLM
14,CA1 SLM
15,CA1 SLM
16,CA1 SLM
17,CA1 SLM
18,CA1 SLM
19,DG OML1
20,DG OML1
21,DG OML1
22,DG MML1
23,DG MML1
24,DG MML1
25,DG GCL1
26,DG GCL1
27,DG GCL1
28,DG GCL1
29,HIL
30,HIL
31,HIL
32,HIL
33,HIL
34,HIL
35,HIL
36,HIL
37,DG GCL2
38,DG GCL2
39,DG GCL2
40,DG GCL2
41,DG GCL2
42,DG GCL2
43,DG MML2
44,DG MML2
45,DG MML2
46,DG MML2
47,DG MML2
48,DG MML2
49,DG OML2
50,DG OML2
51,DG OML2
52,DG OML2
53,DG OML2
54,DG OML2
55,DG OML2
56,DG OML2
57,DG OML2
58,DG OML2
59,DG OML2
60,DG
61,DG
62,DG
63,DG
64,DG
