Row,Region
1,CA1
2,CA1
3,CA1
4,CA1 SP
5,CA1 SP
6,CA1 SP
7,CA1 SP
8,CA1 SP
9,CA1 SP
10,CA1
11,CA1
12,CA1
13,CA1
14,CA1
15,CA1 SLM
16,CA1 SLM
17,CA1 SLM
18,CA1 SLM
19,CA1 SLM
20,CA1 SLM
21,DG OML1
22,DG OML1
23,DG OML1
24,DG OML1
25,DG MML1
26,DG MML1
27,DG MML1
28,DG MML1
29,DG MML1
30,DG MML1
31,DG GCL1
32,DG GCL1
33,DG GCL1
34,DG GCL1
35,HIL
36,HIL
37,HIL
38,HIL
39,HIL
40,HIL
41,HIL
42,HIL
43,DG GCL2
44,DG GCL2
45,DG GCL2
46,DG GCL2
47,DG MML2
48,DG MML2
49,DG MML2
50,DG MML2
51,DG MML2
52,DG MML2
53,DG OML2
54,DG OML2
55,DG OML2
56,DG OML2
57,DG
58,DG
59,DG
60,DG
61,DG
62,DG
63,DG
64,DG
