Row,Region
1,CA1 SP
2,CA1 SP
3,CA1 SP
4,CA1 SP
5,CA1
6,CA1
7,CA1
8,CA1
9,CA1
10,CA1
11,CA1 SLM
12,CA1 SLM
13,CA1 SLM
14,CA1 SLM
15,CA1 SLM
16,DG OML1
17,DG OML1
18,DG OML1
19,DG OML1
20,DG MML1
21,DG MML1
22,DG MML1
23,DG MML1
24,DG GCL1
25,DG GCL1
26,DG GCL1
27,DG GCL1
28,DG GCL1
29,DG GCL1
30,DG GCL1
31,HIL
32,HIL
33,HIL
34,HIL
35,HIL
36,HIL
37,HIL
38,HIL
39,HIL
40,HIL
41,HIL
42,HIL
43,HIL
44,HIL
45,HIL
46,HIL
47,HIL
48,HIL
49,DG GCL2
50,DG GCL2
51,DG GCL2
52,DG GCL2
53,DG GCL2
54,DG GCL2
55,DG GCL2
56,DG GCL2
57,DG GCL2
58,DG GCL2
59,DG MML2
60,DG MML2
61,DG MML2
62,DG MML2
63,DG MML2
64,DG MML2
