# Jarvis Panorama -- PTEN m1 s8 2023-10-05 CSC1 panorama -- CSC1 -- 2-200 Hz -- 93 windows of 8 s every 1 s -- taken 2026-09-18T14:04:13
frequency_hz,power_uv2_per_hz
2.0,874.8140472049754
2.5,992.0366506028824
3.0,620.2663802331723
3.5,418.92522898568836
4.0,401.5862116751081
4.5,450.6387196372773
5.0,430.41303800126195
5.5,420.9183089595972
6.0,406.74401810464605
6.5,307.2868757377374
7.0,255.58382383550062
7.5,215.0843131555626
8.0,157.94309422155533
8.5,132.32420135912943
9.0,119.26848146703286
9.5,95.46793193967446
10.0,102.67198268116688
10.5,117.21192642988152
11.0,89.04473191033269
11.5,75.34312482040988
12.0,82.91700992437178
12.5,62.4622950409697
13.0,53.24245561521986
13.5,54.089149797075486
14.0,50.63061734117332
14.5,34.85901414614173
15.0,40.786544005124455
15.5,37.95079018056085
16.0,34.66067705297636
16.5,32.48641074833224
17.0,39.90857807108796
17.5,38.29920866640425
18.0,31.545755023412926
18.5,30.298660499524747
19.0,29.423362691986057
19.5,30.673561523671676
20.0,30.228297871335084
20.5,30.983580821552394
21.0,31.71503821704543
21.5,27.517535879123418
22.0,30.82242337920561
22.5,28.550323187527052
23.0,23.633350065169573
23.5,21.44798389119447
24.0,20.774755363244957
24.5,21.873745255970597
25.0,19.490827196152274
25.5,18.608602879926533
26.0,19.89921966095788
26.5,18.27372466275423
27.0,17.52183337075141
27.5,16.468878238675455
28.0,16.84227489325307
28.5,16.50641424215051
29.0,15.132681484813617
29.5,14.139867014317334
30.0,13.240380316785664
30.5,13.152656202796507
31.0,12.90662171925504
31.5,13.552328650667095
32.0,12.111238552150692
32.5,9.840490327276873
33.0,10.411173099745128
33.5,10.848578661473319
34.0,11.01036640571771
34.5,12.790823101493444
35.0,11.662179553521538
35.5,11.123015227089835
36.0,12.071620555997184
36.5,10.135455152758814
37.0,9.621249528346494
37.5,9.921999099141308
38.0,9.950395240950073
38.5,9.150019046426149
39.0,9.56568447539373
39.5,11.083740233886516
40.0,9.762503564392675
40.5,9.417556009391513
41.0,9.840763325727856
41.5,8.98294971939669
42.0,7.710551849460893
42.5,7.399357030517874
43.0,6.389112241710856
43.5,7.588927778379678
44.0,7.344694406967393
44.5,6.680006206603422
45.0,6.464195824497956
45.5,6.088641707636622
46.0,7.211105345427111
46.5,6.5646746438775
47.0,5.191708765681646
47.5,6.323016296007722
48.0,9.43720794088734
48.5,6.028751339090693
49.0,5.296673493807333
49.5,6.2556329805550694
50.0,5.944585417570004
50.5,5.712921722464004
51.0,5.340298899941766
51.5,7.009375560956703
52.0,8.011815749606507
52.5,4.923840925228095
53.0,4.443573330650606
53.5,3.9000020382900518
54.0,4.4331112722052
54.5,5.007187440172003
55.0,3.623093467854239
55.5,3.6380383575698785
56.0,3.5020425884511535
56.5,3.288881039310333
57.0,3.6134809982258385
57.5,3.7787811085919807
58.0,3.5960291790286854
58.5,3.432875325640829
59.0,3.2869818972344174
59.5,3.1563385299719506
60.0,3.039211782833229
60.5,2.9341031440796
61.0,2.8397139279290387
61.5,2.754915856857563
62.0,2.678726347189731
62.5,2.6102876949136467
63.0,2.584652345101183
63.5,3.0297488073424548
64.0,2.8101023494980053
64.5,1.9977596678361325
65.0,2.3848023209672586
65.5,2.424370229648385
66.0,2.2053735027663968
66.5,2.0520482391905306
67.0,1.607930849568547
67.5,1.6456776186809445
68.0,1.6455043252629467
68.5,1.9739208611890695
69.0,2.0668855733370117
69.5,2.1387247035090513
70.0,1.6540905298753368
70.5,1.8395984498641815
71.0,1.8046485181394312
71.5,1.8209101077091816
72.0,1.633988267711603
72.5,1.4512338028118255
73.0,1.69264392349087
73.5,1.661224429340904
74.0,1.5378235075280575
74.5,1.5330075317119363
75.0,1.7634744884913185
75.5,1.8187042957381543
76.0,1.4243457159143602
76.5,1.2445519813283963
77.0,1.1543601462109756
77.5,1.3034013084840916
78.0,1.2625284308903297
78.5,1.0813591671567266
79.0,1.0383637016330973
79.5,1.1245538036593827
80.0,1.055674231707699
80.5,1.008299914440333
81.0,0.9815639851447234
81.5,1.0343319562700635
82.0,1.1728419139645074
82.5,1.228878951075161
83.0,1.169145948771545
83.5,1.0367302469295065
84.0,1.0151025786050312
84.5,1.0682472198052437
85.0,1.1742752084247605
85.5,1.0981468566835761
86.0,1.0002888613870637
86.5,0.8512259120948076
87.0,0.8791667770007617
87.5,0.8341029286468216
88.0,0.9591694559226601
88.5,0.9657418301322556
89.0,0.9195914068604302
89.5,0.9388718107394189
90.0,0.8392018799960962
90.5,0.8170132680060587
91.0,0.7071836629752896
91.5,0.816581413772806
92.0,0.8904992551063227
92.5,0.8255358025611093
93.0,0.846349475855715
93.5,0.7056579024493657
94.0,0.7073178763603475
94.5,0.68504893835283
95.0,0.7113815990170544
95.5,0.7512610023434823
96.0,0.6174794200343076
96.5,0.6470247772284267
97.0,0.8242975211923901
97.5,0.8368609369894642
98.0,0.697598903142978
98.5,0.6855808869322523
99.0,0.5946504125350478
99.5,0.5493921458119145
100.0,0.5969452570488539
100.5,0.6902660088746851
101.0,0.6484175189349519
101.5,0.48053282628216837
102.0,0.48420528686976033
102.5,0.5470208996847156
103.0,0.529149090259988
103.5,0.5418538869603715
104.0,0.5761036952938404
104.5,0.5731816073154609
105.0,0.5359139811737291
105.5,0.5338999642649862
106.0,0.6173288730922833
106.5,0.44236549012161436
107.0,0.4326846477074475
107.5,0.5236669996613965
108.0,0.5100927313832668
108.5,1.4806381624508342
109.0,3.9874990224490476
109.5,1.370926239499194
110.0,0.505716820868136
110.5,0.5402654614926146
111.0,0.5743125690373861
111.5,0.4915404573317971
112.0,0.49093785149535996
112.5,0.5056300787419222
113.0,0.397231976453504
113.5,0.4022188709164255
114.0,0.3923584341264443
114.5,0.49147842440564893
115.0,0.5249824391453273
115.5,0.423438000993965
116.0,0.3532652728416085
116.5,0.438082376247193
117.0,0.39413127751599797
117.5,0.3505282170488657
118.0,0.33401593434224136
118.5,0.319661776593051
119.0,0.3072297262089948
119.5,0.2965187329328235
120.0,0.28735770335289174
120.5,0.2796013031978779
121.0,0.27312643841448997
121.5,0.26782930442221997
122.0,0.26362291213521144
122.5,0.26043501511731243
123.0,0.23244524359696225
123.5,0.29074626147707744
124.0,0.282994777406761
124.5,0.3183000935185081
125.0,0.30372538479458233
125.5,0.2951620570331104
126.0,0.2996599641767631
126.5,0.29946747403391427
127.0,0.3138971116443358
127.5,0.32131392881311094
128.0,0.28144217559306967
128.5,0.2709948447814726
129.0,0.25325428057120447
129.5,0.26128662673395225
130.0,0.250529576547591
130.5,0.31074089323366444
131.0,0.2869866841424554
131.5,0.2439542302065428
132.0,0.23437976499613108
132.5,0.24850001730027985
133.0,0.2868755877208539
133.5,0.2821334263982571
134.0,0.2472682183028598
134.5,0.23696102444816308
135.0,0.2220409131953561
135.5,0.20254653011372203
136.0,0.22780675047456486
136.5,0.2697180293366413
137.0,0.2329394157012183
137.5,0.20238183847476454
138.0,0.21210063452322242
138.5,0.21426572276313213
139.0,0.24734243327915534
139.5,0.2382638822680825
140.0,0.20895873508696863
140.5,0.2485427953102185
141.0,0.22837317413045824
141.5,0.21391311188013315
142.0,0.20401656401028964
142.5,0.2047111164837185
143.0,0.19786097946471434
143.5,0.18661593344743252
144.0,0.2347513319699743
144.5,0.18351251952187375
145.0,0.18354370409111556
145.5,0.16215896392095355
146.0,0.16921700984645924
146.5,0.16495577276398185
147.0,0.18471061144182763
147.5,0.4811462911512017
148.0,0.5853025962319874
148.5,0.16100877584252424
149.0,0.140013263154171
149.5,0.12369081898143795
150.0,0.14885619152347343
150.5,0.14945328353191345
151.0,0.1942340630623878
151.5,0.5665869149554065
